basecId,snctpId,whoId,layTitle,laySummary,disease,intervention,inclusionCriteria,exclusionCriteria,studysites,studySitesOther,tags
2020-00291,SNCTP000003894,DRKS00017279,Antientzündlicher Effekt einer neuen Zahnpasta auf das Zahnfleisch bei bestehender Zahnfleischentzündung,"Diese Studie untersucht den Effekt einer neuen Zahnpasta auf das Zahnfleisch und den Zahnbelag. Die neue Zahnpasta, welche Zahnfleischentzündungen reduzieren soll, wird gegen eine herkömmlich Zahnpasta getestet, deren positive Wirkung bereits bestätigt wurde. 
20 Patienten mit bestehender Zahnfleischentzündung werden eingeschlossen. 
Diese putzen im Crossover Versuch mit der nach dem Zufallsprinzip zugeordneten Zahnpasta unter Verwendung ihrer eigenen Zahnbürste und ihrer gewohnten Putztechnik. Zwischen den 4-wöchigen Intervallen mit der Test- oder der Kontrollzahnpasta der Studie putzen die Teilnehmer jeweils 4 Wochen lang wieder mit ihrer eigenen Zahnpasta. 
Untersuchungen erfolgen nach 2, 4, 8, 12, 16 und 20 Wochen. Abschließend erhalten alle Probanden eine professionelle Zahnreinigung.",Zahnfleischentzündung,"Das Putzen mit einer Zahnpasta, die mit Inhaltsstoffen ausgestattet ist, welche die Heilung von entzündetem Zahnfleisch fördert.","- 20 Patienten 18-65 Jahre alt mit mindestens 20 Zähnen
- mindestens 30% des Zahnfleisches muss bei der Untersuchung mit einer Tastsonde bluten (BOP, bleeding on probing > 30%)
- gute allgemeine und dentale Gesundheit ohne grosse Pathologien","- Schwangerschaft und Stillzeit 
- parodontaler Screening Index von = 4
- aktuelle Verwendung der positivem Kontrollzahnpasta Meridol Parodont Expert",Zürich,nan,Parodontalerkrankungen
2020-00817,SNCTP000003895,nan,Endoskopische Charakterisierung der Entzündungsaktivität bei der eosinophilen Entzündung der Speiseröhre: Vergleich der Standardbildgung und einer hoch-auflösenden Bildgebung mit histologischen Befunden von Gewebeproben.,"Die Studie untersucht den diagnostischen Nutzen eines neuen gastroenterologischen Endoskops mit einer, im Vergleich zu Standard-Endoskopen, höheren Auflösung, respektive einer höheren Vergrösserung (Zoom). Wir machen diese Studie, um herzauszufinden, ob eine höhere Auflösung eine bessere visuelle Aussage bezüglich der Entzündungsaktivität der Speiseröhre zulässt,noch bevor die Untersuchungsergebnisse der entnommenen Gewebeproben vorliegen. Vorteil einer visuellen Beurteilung bereits während der Endoskopie, wäre eine frühere Diagnosestellung und dadurch frühzeitige Therapie, was zukünftigen Patienten von Nutzen sein könnte.",Eosinophile Entzündung der Speiseröhre,Hoch-auflösende Magenspiegelung mithilfe einer neuen 135-fachen Vergrösserung (Zoom).,"Alle Patienten, die an einer eosinophilen Ösophagitis (Speiseröhrenentzündung) leiden und über 18 Jahre alt sind.","Schwangerschaft, erhöhtes Risiko während einer Sedation (gemäss ASA-Klassifikation)",Zürich,nan,Erkrankungen des Verdauungssystems (nicht Krebs)
2020-00895,SNCTP000003896,nan,Trasfusione di plasma da donatori convalescenti da COVID-19 a pazienti affetti da COVID-19: uno studio degli effetti sul sistema immunitario.,I pazienti riceveranno 3 dosi di plasma da 200 ml da donatori convalescenti da COVID-19.,10 pazienti ospedallizzati con polmonite da COVID-19 e difficoltà respiratorie lievi.,Nei donatori e nei pazienti prima e dopo le trasfusioni saranno analizzati gli anticorpi contro il virus del COVID-19. Inoltre nei pazienti sarà analizzata la capacità del plasma di ridurre la quantità di virus presente e di influenzare il sistema immunitario del paziente.,"Pazienti ospedalizzati di età tra 18 e 75 anni con COVID-19 confermata da tampone naso-faringeo, polmonite ed insufficienza respiratoria lieve (cosiddetta SpO2 >92%).","- Partecipazione ad un altro studio sulla malattia COVID-19;
- Malattia COVID-19 grave (degenza in cure intense, SpO2 < 93%); 
- RIschio elevato di reazione allergica grave alla trasfusione di plasma; 
- malattia cardiaca sintomatica;
- tumore maligno o altra malattia con prognosi infausta a breve termine; 
- gravidanza.",nan,Locarno,Infektionen und Parasitenbefall
2019-02039,SNCTP000003899,nan,Pilotstudie zum Effekt des temporären Verschlusses der Aorta durch einen Ballonverschlusskatheter bei Patienten im persistierenden Herzkreislaufstillstand,"Patienten, welche einen Herz-Kreislauf-Stillstand erleiden, versterben trotz Reanimationsbemühungen zum grössten Teil. Bei den wenigen Patienten, welche erfolgreich wiederbelebt werden können (<5% aller Patienten), setzt ein stabiler Kreislauf innerhalb von 10 Minuten wieder ein. Reanimationsbemühungen von mehr als 10 Minuten sind selten erfolgreich.
Ursache der schlechten Resultate ist der geringe Blutfluss, welcher durch Herz-Druck-Massage generiert werden kann. Damit wird der Herzmuskel selbst schlecht durchblutet, und das Herz kann nicht schlagen, damit verstirbt der Patient endgültig. Und selbst wenn der Herzschlag wiedereinsetzt, ist sehr häufig das Gehirn soweit geschädigt, dass der Patient schwerst geschädigt bleibt, beziehungsweise am Hirnschaden verstirbt. Tierexperimentell wurde gezeigt, dass wenn die Hauptschlagader, welche zur unteren Körperhälfte zieht, verschlossen wird, das wenige Blut, welches die Herzdruckmassage zum fliessen bringt, bevorzugt zum Gehirn und zum Herzmuskel fliesst. Mit einem neuartigen, relativ einfach einzulegenden Katheter, welcher eigentlich zur Blutstillung bei Schwerstverletzten entwickelt wurde, ist es denkbar, dass die oben beschriebenen tierexperimentell nachgewiesenen Effekte auch beim Menschen funktionieren. Dies sollte zu einem besseren Ergebnis der Reanimationsbemühungen führen. In einem ersten Schritt haben wir bereits die Machbarkeit der schnellen und korrekten Kathetereinlage im Spital geprüft. Da die Intervention für einen möglichen Effekt möglichst früh nach dem Herzkreislaufstillstand durchgeführt werden muss, soll diese mit dieser Studie bereits durch den Rettungsdienst am Ort des Herzkreislaufstillstandes durchgeführt werden. Gleichzeitig werden Daten erhoben, die einen indirekten Hinweis auf einen verbesserten Blutfluss zu Herz und Gehirn geben. Diese können verwendet werden, um eine Studie zur Wirksamkeit der Intervention zu planen.",Herz-Kreislaufstillstand,"Ziel ist die Einlage des ""ER-REBOA™ Catheters"" (Firma Prytime Medical, Boerne, TX 78006, USA) und der temporäre Verschluss der nach unten führenden Hauptschlagader mit dem Ballon des Katheters. Hierfür wird unter Ultraschallkontrolle die Beinschlagader punktiert und eine ""Schleuse"" in die Schlagader eingelegt, um einen Zugang zum Gefässsystem zu sichern. Die Kontrolle der Lage erfolgt ebenfalls mittels Ultraschall. Dann wird der REBOA-Katheter durch die Schleuse kopfwärts geschoben, durch vorangehendes Abschätzen sollte der Ballon des Katheters etwas oberhalb des Zwerchfells in der Hauptschlagader zu liegen kommen. Es wird dann eine Blutdruckmessung an der Spitze des Katheters angeschlossen, und der Ballon mit steriler Kochsalzlösung gefüllt (Menge ist definiert, das Füllen des Ballons erfolgt mit der Hand). Nach vollständigem Verschluss der Hauptschlagader gelangt kein Blut mehr in die untere Körperhälfte, dafür sollte, zumindest theoretisch, das Gehirn und das Herz bevorzugt durchblutet werden. Das Hauptinteresse gilt daher der Messung des Blutdrucks, und ob dieser nach Verschluss der Hauptschlagader wie vermutet ansteigt, als Ausdruck einer vermehrten Durchblutung. Über Klebeelektroden an der Stirn des Patienten wird des weiteren gemessen, wie gut das Blut an dieser Stelle des Gehirns mit Sauerstoff beladen ist, und ob sich dies nach unserer Intervention wie vermutet verbessert. 
Die Wiederbelebungsbemühungen nach Standardprotokoll werden während der gesamten Intervention weitergeführt und der Notarzt vor Ort wird nach üblichen Kriterien entscheiden, ob und wielange diese aufrecht erhalten werden und ob der Patient in ein Spital transportiert werden soll. Wird das Wiedereinsetzen des Kreislaufes erreicht, wird der Patient auf jeden Fall zur weiteren Beurteilung und Therapie in ein Zentrumspital gebracht. Im Falle eines Transports ins Spital wird dort eine normale Röntgenaufnahme des Brustkorbes durchgeführt, wie es in dieser Situation klinische Routine ist, um Herz und Lunge zu untersuchen (Ursache des Herzstillstandes). Ausserdem kann auch die Lage des Katheters kann mit dieser Untersuchung kontrolliert werden.
Gemessen wird auch die Anzahl der Punktionsversuche, der Versuche den Ballon hochzuschieben, die Änderung der abgeatmeten Kohlensäure über die Lunge als indirekten Hinweis auf die Kreislaufsituation (je mehr Kohlensäure in der ""verbrauchten"" Luft abgeatmet wird, um so besser ist die Lunge Durchblutet, was eigentlich das Ziel der Herzdruckmassage ist). Erhoben werden ebenfalls Basisdaten (Ursache des Herzstillstandes, Erfolg der Wiederbelebungsmassnahmen). Sollte der Patient den Herzkreislaufstillstand bzw die zugrunde liegende Erkrankung überleben, wird nach 3 und 6 Monaten erhoben, wie gut zu diesem Zeitpunkt die neurologische Funktion im Alltag ist.","Patienten, welche ausserhalb des Spitals (""präklinisch"") einen therapierefraktären Herz-Kreislaufstillstand erlitten haben, und die aufgrund der Einschätzung vor Ort eine gewisse Chance haben, zu überleben (diese Einschätzung ergibt sich daraus, wie schnell die Wiederbelebungsmassnahmen ergriffen wurden und was für ein elektrischer Rhythmus des Herzens vorliegt). Therapierefraktär ist definiert als persistierender Herzstillstand trotz mindestens 10-minütigen Wiederbelebungsversuchen nach Standardprotokoll und fehlende Alternative, mittels Herz-Lungen-Maschine die Wiederbelebung zu unterstützen (genannt eCPR).","• Patienten, deren Grunderkrankung ein Überleben unmöglich macht und die Wiederbelebungsmassnahmen nach anfänglicher Überprüfung der Gesamtsituation gestoppt wurden, welche nach einer weiteren Einschätzung als nicht heilbar eingeschätzt werden oder Patienten, welche eine Patientenverfügung ausgefüllt haben und keine Wiederbelebungsmassnahmen wünschen
• Alter unter 18 Jahren (Zulassung des Katheters nur für Erwachsene)
• Fehlendes Studienpersonal und/oder Unmöglichkeit, die Qualität der Wiederbelebungsmassnahmen zu gewährleisten, wenn parallel dazu die Studienintervention durchgeführt werden würde",Bern,nan,Anderes
nan,SNCTP000003900,EudraCT2012-000793-30,Internationale Studie zur Behandlung von rezidivierender ALL 2010 mit Standard-Risiko bei Kindern,"In dieser Studie werden zwei bewährte Behandlungsprotokolle verglichen, von welchen nicht bekannt ist, ob eine der beiden wirksamer sein könnte. Das ist Ziel ist, für die zukünftige Behandlung für ganz Europa ein gemeinsames Behandlungsprotokoll festzulegen. Beide Therapiekonzepte haben hervorragende Ergebnisse erbracht, sind auf sehr ähnlichen Medikamenten aufgebaut, und unterscheiden sich über die Zusammensetzung der einzelnen Therapieelemente. Beide haben Vor- und Nachteile. Am besten lassen sich beide Konzepte vergleichen, wenn in ganz Europa zufällig entschieden werden kann, welcher Patient nach welchem Plan behandelt wird. Zu Beginn der Studie werden die Studienteilnehmer nach Einwilligung einem von folgenden Behandlungsarmen A oder B zugeteilt. Die Wahrscheinlichkeit, dass ein Studienpatient in die Gruppe A oder B kommt beträgt je 50%.
Eine zweite Zuteilung fand ursprünglich nach ungefähr 4 Wochen statt. Hier ging es darum, ob der Patient zur Chemotherapie das neue Medikament Epratuzumab erhält oder nicht. Es wird vermutet, dass Epratuzumab in Kombination mit Chemotherapie eine Verbesserung der Prognose bewirken könnte. Deshalb wurde dieses Medikament in beiden Behandlungskonzepten ebenfalls eingesetzt, d.h. in beiden Behandlungsarmen erhielt die Hälfe aller Patienten zusätzlich zu den anderen Zytostatika Epratuzumab, die andere Hälfte nicht. Die Aufteilung zur zusätzlichen Gabe von Epratuzumab im Rahmen dieser Studie wurde am 01.02.2019 beendet.",Rückfall akuter lymphoblastischer Leukämie (ALL),Zwei bewährte Behandlungsprotokolle mit oder ohne Epratuzumab (zusätzliche Gabe von Epratuzumab wurde am 01.09.2019 beendet).,"Bestätigte Diagnose eines ersten Rückfalls der Vorläufer B-Zell- oder T-Zell-ALL.
Standard-Risikokriterien: spät isoliert oder zu spät / früh kombinierter B-Zell-Vorläufer-Knochenmark-Rückfalls","BCR-ABL / t (9;22) positive ALL, Schwangerschaft, Verweigerung von Verhütungsmethoden","Bellinzona, Bern, Aarau, Zürich, Lausanne, Luzern, Basel, Genf, St Gallen",nan,Leukämie
2019-01656,SNCTP000003912,nan,Comparaison de deux médicaments contre le potassium chez les patients dialysés.,"Le potassium provient de l'alimentation. Les patients souffrant d'insuffisance rénale ont tendance à avoir un excès de potassium (hyperkaliémie). L'hyperkaliémie est un problème fréquent chez les patients dialysés et peut avoir de graves conséquences. Il existe des médicaments permettant de diminuer l'absorption du potassium et donc de prévenir la survenue d'hyperkaliémie. Toutefois, l'efficacité de ces médicaments est mal étudiée chez les patients dialysés et il n'est pas clair si un médicament est supérieur à un autre. Aussi, nous menons une étude destinée à évaluer l'efficacité de deux médicaments principaux permettant de prévenir l'hyperkaliémie chez les patients dialysés. Le premier médicament est le Resonium et le second le Veltassa. Les patients participants à cette étude seront répartis en 2 groupes au hasard. Le premier groupe recevra pendant 4 semaines du Resonium puis aura une pause de 4 semaines et enfin recevra du Veltassa durant les 4 dernières semaines. Le second groupe recevra un schéma inverse à savoir 4 semaines du Veltassa puis 4 semaines de pause et enfin 4 semaines de Resonium. Plusieurs valeurs de laboratoires seront mesurées au cours des séances de dialyse chez tous ces patients. Au final, l'analyse de ces valeurs de laboratoire permettra de définir si l'un de ces deux médicaments est plus efficaces ou mieux toléré que l'autre.",Excès de potassium chez les patients dialysés.,Efficacité et tolérance du Resonium et du Veltassa pour le contrôle de l'hyperkaliémie chez les patients dialyés.,"Patient dialysé chronique
Valeur de potassium entre 5.1 et 6.4 mmol/l
Etre d'accord de participer à cette étude","Mineurs (<18 ans)
Valeur de potassium <5.1 ou >6.4 mmol/l
Etre incapable de donner son accord pour participer","Genf, Neuenburg",nan,Anderes
2020-00236,SNCTP000003913,NCT04674670,Biopsychologische Mechanismen von chronischem Schmerz,"Chronischer Schmerz induziert grosses Leiden und vielfältige Beeinträchtigungen. Trotz zahlreicher Fortschritte in der Forschung sind die Mechanismen der Entstehung und Aufrechterhaltung von chronischen Schmerz noch zu weiten Teilen unbekannt. Eine Annahme ist, dass chronischer Schmerz mit einer Verschiebung im emotionalen Erleben zum Negativen hin einhergeht, was mit einer gesteigerten Schmerzwahrnehmung einhergeht. Diese Annahme soll in diesem Projekt sowohl auf psychologischer als auch biologischer Ebene untersucht werden. Insbesondere soll untersucht werden, welche biologischen Prozesse einer solchen negativen Verschiebung im Erleben zugrunde liegen und in welchem Verhältnis diese genau zur Wahrnehmung von Schmerz stehen. Der Fokus liegt hierbei auf Entzündungsprozesse im Gehirn, wie sie bei chronischem Schmerz bereits beobachtet wurden, und auf dem Neurotransmitter Dopamin, von dem bekannt ist, dass er das Bestreben Schmerz zu vermeiden oder auch zu ertragen, abhängig von der individuellen Situation, beeinflusst.",Chronische muskuloskeletale Schmerzen,"In Teilstudie 1 erhält die Hälfte der Probanden (Patienten mit chronischem Schmerz, speziell Fibromyalgie) niedrig dosiertes Naltrexon (ein Opioidrezeptorantagonist), um Entzündungsprozesse im Gehirn zu reduzieren. Die andere Hälfte erhält Placebo. In Teilstudie 2 erhalten gesunde Probanden in einer Untersuchungssitzung das Medikament Bromocriptin (ein Dopaminrezeptoragonist), in einer anderen Sitzung das Medikament Amisulprid (ein Dopaminrezeptorantagonist) und in einer weiteren Sitzung Placebo, um die Funktionsweise des Neurotransmitters Dopamin vorübergehend zu modulieren. In derselben Studie erhalten Patienten mit chronischem Schmerz (speziell Fibromyalgie) entsprechend Bromocriptin oder Placebo, jedoch kein Amisulprid, da von einer bereits beeinträchtigten Funktionalität des Dopaminsystems bei diesen Patienten ausgegangen wird. In beiden Studien werden die Effekte dieser Interventionen auf die Fähigkeit, kleine Änderungen der Schmerzintensität wahrzunehmen und der Tendenz, Schmerzreize zu vermeiden, untersucht, sowie auf im Bezug dazu stehende Reaktionen des Gehirns.","Patienten mit Fibromyalgie:
1. Alter zwischen 18 und 70 Jahren
2. Chronischer Schmerz in mehreren Körperregionen 
3. Symptome wie Müdigkeit, kognitive Beeinträchtigungen und/oder depressive Symptome
4. Ausreichendes Sprachverständnis (Deutsch/Englisch), um Studienanweisungen folgen zu können
5. Fähigkeit, Studieneinwilligung selbstständig zu geben

Gesunde Probanden
1. Alter parallelisiert zu Patienten
2. Guter allgemeiner Gesundheitszustand
3. Ausreichendes Sprachverständnis (Deutsch/Englisch), um Studienanweisungen folgen zu können
4. Fähigkeit, Studieneinwilligung selbstständig zu geben","Alle Probanden:
1. Psychiatrische oder neurologische Erkrankungen; Nur für Patienten: außer Depression und Angststörungen
2. Substanzmissbrauch oder Konsum von Alkohol, illegale Drogen oder Schmerzmedikamenten in den 24 Stunden vor der
Untersuchung, bei Patienten: außer verschriebene Routine Medikation
3. Herzschrittmacher oder Metallteile im Körper oder andere Ausschlusskriterien für Magnetresonanztomographie
4. Schwangerschaft oder Stillen
5. Spezifische Ausschlusskriterien aufgrund der Einnahme der verschiedenen Medikamente in Teilstudie 1 und 2

Zusätzlich für gesunde Probanden:
6. in den letzten 12 Monaten nicht länger als an drei aufeinanderfolgenden Tagen und nicht häufiger als 30 Tage Schmerzen",Zürich,nan,Muskel-Skelett-Erkrankungen (nicht Krebs)
2020-00533,SNCTP000003915,nan,"L’effet immédiat d’une session d’électrostimulation de l’arche médiale du pied sur la force musculaire des muscles intrinsèques du pied, la stabilité de l’arche, la distribution statique des pressions plantaires et l’équilibre postural dynamique : étude contrôlée randomisée en simple aveugle","Etude contrôlée randomisée en simple aveugle avec 2 groupes (intervention et contrôle)
L'intervention se composera d'une séance de 15 minutes d'électrostimulation pour le groupe intervention (NEMS) et de 15 minutes d'électrostimulation placebo (TENS) pour le groupe contrôle.
Les paramètres mesurés avant et après l'intervention sur le pied dominant et non dominant des 2 groupes seront :
- la force musculaires des muscles intrinsèques du pied sur plateforme de force Zebris (FDM-THQ, Zebris Medical GmbH, Germany)
- la stabilité de l'arche par le test du navicular drop (sit to stand test)
- le contrôle postural dynamique par le y balance test
- le contrôle postural statique par un appui unipodal sur plateforme de force

La randomisation se fera à la fois pour la composition des groupes contrôle et intervention ainsi que pour l'ordre de passages des différentes mesures post et pré-intervention.

Les sujets n'auront pas la connaissance de l'intervention délivrée par le Compex","La force musculaire des muscles intrinsèques du pied
La stabilité de l'arche
La distribution statique des pressions plantaires
L'équilibre postural dynamique","Nous étudierons l'effet immédiat d'une séance d'électrostimulation sur le pied dominant (groupe intervention) :
-15 minutes (environ 75 EMS de contraction), debout les pieds au sol.
-courant sera biphasique à moyenne nulle, de fréquence 85 Hz, avec un plateau de 400 ms.
-stimulation tétanique de contraction pendant 4 secondes suivant d’une période de repos de 8 secondes

Groupe Contrôle :
Une électrostimulation placebo (TENS) sera délivrée pendant 15 minutes sur le pied dominant","- âge entre 18 à 60 ans
- Foot Posture Index (FPI) avec un score entre +6 à +12","- pas de douleur de pied ou de cheville, ni d'entorse dans les trois derniers mois
- pas de fracture à la jambe, à la cheville ou au pied dans la dernière année
- pas de déformation majeure du pied
-aucun déficit neurologique auto-rapporté du membre inférieur
-aucun déficit neurologique ou vestibulaire pouvant entraver l’équilibre (radiculopathie lombo-sacré,
pathologie du nerf périphérique, syndrome Marfan ou Eehlers-Danlos etc)
-aucune contre-indication à l’électrostimulation (pacemaker, épilepsie, défibrillateur, grossesse)
-aucune expérience de l’électrostimulation sur l’arche médiale du pied ou d’exercices de gainage du pied",Genf,nan,Anderes
nan,SNCTP000003919,NCT04333862,Analyse der Infektionsraten mit COVID-19 beim Medizinischen Personal,"Während weltweiter Pandemien ist der Schutz des medizinischen Personals eine entscheidende und herausfordernde Aufgabe. In solchen ausserordentlichen Situationen ist die Nachhaltigkeit der Gesundheitsdienstleister unter anderem durch 1) infizierte Patienten, 2) infizierte Mitarbeiter und 3) infizierte Personen ausserhalb des Spitals bedroht. Im Gegensatz zu den meisten anderen Berufen ist social distancing in medizinischen Teams, in denen enger Kontakt mit Patienten und Kollegen die Regel ist, sehr schwierig. Gegenwärtig ist wenig darüber bekannt, welche arbeitsorganisatorische Strategie in Krankenhäusern am besten geeignet ist um das Gesundheitspersonal zu schützen. Daher zielt das aktuelle Projekt darauf ab, herauszufinden, ob organisatorische Maßnahmen, die während des COVID-19-Ausbruchs eingeführt wurden, wirksam zum Schutz des medizinischen Personals beigetragen haben. 
Ziel 1.    Bestimmung des Unterschieds im Infektionsrisiko zwischen medizinischem und nicht medizinischem Personal in einer Krankenhausumgebung 
Ziel 2.    Bestimmen der Auswirkungen von Sars-CoV 2 Tests auf das Gesundheitspersonal 
Ziel 3.    Bestimmen der Wirksamkeit organisatorischen Strategien zum Schutz des Gesundheitspersonals 
Mit den in den Zielen 1, 2 und 3 gesammelten empirischen Daten werden mathematische Modelle entwickelt, getestet und simuliert, um die Auswirkungen zu evaluieren. Darüber hinaus sollen die Studien die Produktivität der Arbeitskräfte messen und modellieren, die sich aus den verschiedenen Organisationsstrategien ergibt. 
Bedeutung 
Im Rahmen dieses Projekts wird die Auswirkung des COVID-19-Ausbruchs auf die Belegschaft eines großen Universitätskrankenhauses analysiert um zu verstehen wie Mitarbeitende im Gesundheitswesen optimal geschützt werden können. Angesichts der Tatsache, dass aus dem Universitätsspital Daten für viele Berufe außerhalb des Gesundheitswesens verfügbar sind, können die Ergebnisse zum Teil auch ausserhalb des Spitals von Relevanz sein.",Infektion von SARS-CoV2 bei Gesundheitspersonal,PCR für SARS-CoV-2,Gesundheitspersonal der Universitätsklinik für Viszerale Chirurgie und Medizin Patienten der Universitätsklinik für Viszerale Chirurgie und Medizin   Unterschriebene Einverständniserklärung,"Patienten mit bekannter COVID-19 Infektion
Keine Einverständniserklärung",Bern,nan,Infektionen und Parasitenbefall
2020-00127,SNCTP000003928,nan,Étude de la plasticité des structures cérébrales profondes dans les troubles cognitifs légers et le vieillissement sain,"Nous voulons caractériser l'évolution des fonctions d'apprentissage et de mémoire au cours du temps, ainsi que de déterminer si nous pouvons corriger le déficit d’apprentissage et la perte de mémoire avec une stimulation cérébrale non-invasive. La stimulation se fera avec un instrument qui peut générer des pulses électriques ou magnétiques, et l'évaluation se fera avec des jeux qui testent votre mémoire et votre capacite d'apprentissage. Vous pourriez aussi être évalués avec l'imagerie par résonance magnétique.",Nous étudions l'évolution des capacités cognitives dans le vieillissement sain et chez les personnes souffrant d'une déficience cognitive légère ou d'une lésion cérébrale par traumatisme crânien. Nous évaluons aussi si certains types de stimulation non-invasive cérébrale peut aider à freiner le déclin cognitif.,"Nous investiguerons trois modalités de stimulation non-invasive du cerveau :
1. nous pourrions mettre des électrodes sur votre tète et on fera passer des petits courants entre ces électrodes pour stimuler l'activité du cerveau
2. nous pourrions appliquer de pulses magnétiques sur l'arrière de votre tète à l'aide d'une bobine pour stimuler l'activité locale du cerveau
3. nous pourrions appliquer de pulses magnétiques sur deux endroits de votre tète à l'aide deux bobines pour stimuler la communication entre ceux deux aires de votre cerveau.","La participation est ouverte à toutes les personnes qui souffrent de déficience cognitive légère ou d’une lésion par traumatisme crânien, et qui, en outre, ont plus de 18 ans.
La participation est aussi ouverte à toutes les personnes en bonne santé âgées de 18 à 35 ans ou de plus de 60 ans.","Ne peuvent pas participer les personnes qui :
• présentent des contre-indications pour la stimulation cérébrale non invasive ou l’IRM (Historique des crises épileptiques, implants médicaux électroniques, implant métallique non-compatible IRM)
• utilisent régulièrement des stupéfiants, benzodiazépines, antidépresseurs tricycliques et antipsychotiques
• sont enceintes","Sion, Genf",nan,"Hirnerkrankungen (nicht Krebs), Demenz und Alzheimer"
2019-00673,SNCTP000003944,nan,Die Wirkung des Herzglykosids Digoxin auf zirkulierende Tumorzellen bei Brustkrebs,Ziel der Studie ist es bei Brustkrebserkrankungen die Rolle des Medikamentes Digoxin auf zirkulierende Tumorzellen und Cluster (Ansammlung von Tumorzellen)zu untersuchen. In einer ersten Untersuchung an Zellkulturen zeigte das Medikament Digoxin und andere Herzmedikamente einen deutlichen Effekt auf die Zerstörung von «Tumorzellclustern». Zirkulierende Tumorzellen stammen vom ursprünglichen Tumor und sind wahrscheinlich für die Entstehung von Metastasen verantwortlich. Die Zerstörung der «Tumorzellcluster» kann möglicherweise die weitere Metastasierung einer Brustkrebserkrankung unterdrücken . Mit den damit gewonnenen Erkenntnissen soll die Behandlung von Brustkrebs in Zukunft verbessert werden.,Brustkrebs,"Während der Studie wird eine Behandlung mit dem Herzmedikament Digoxin begonnen. Vor Beginn sowie während der Zeit der Digoxin-Einnahme sind weitere Untersuchungen wie z.B.  Blutkontrollen und EKG notwendig. Die erste Tablette Digoxin erhalten Sie in unserer Ambulanz, nach 2 Stunden erfolgt dann eine Blutentnahme die im Labor analysiert wird. Dann erhalten Sie die Behandlung mit Digoxin für 7 Tage und eine erneute Blutprobe für die Bestimmung zirkulierender Tumorzellen und des Digoxinspiegels wird abgenommen. Sollte der Digoxinspiegel zu tief sein (< 0.7 ng /ml) erfolgt eine weitere Behandlung bis zu 2 Wochen (< 0.7 ng /ml) wobei nach jeder Behandlungswoche eine Blutprobe zur Bestimmung der zirkulierenden Tumorzellen und des Digoxin Spiegels abgenommen wird. Ferner erfolgt ggf. eine Dosiserhöhung des Medikamentes.","Es können alle Personen teilnehmen, die unter einer metastasierten Brustkrebserkrankung leiden und bei denen zirkulierende Tumorzellen oder Tumorzellcluster nachgewiesen wurden. Dabei können Patientinnen und Patienten vor allem an vier verschiedenen Zeitpunkten ihrer Erkrankung eingeschlossen werden: 
1.	Bei der ersten Diagnose 
2.	Bei einem Rückfall der Erkrankung 
3.	In der Nachsorge 
4.	Weitere spezielle klinische Situationen, z.B. bei Tumorwachstum und unter Therapie

Um teilnehmen zu können, müssen Frauen im gebärfähigem Alter eine zuverlässige Verhütungsmethode anwenden.","Nicht teilnehmen hingegen dürfen Patieninnen und Patienten die an einer Herzrhythmusstörung leiden, oder andere Vorerkrankungen aufweisen, die eine Behandlung mit dem Studienmedikament nicht erlauben. Auch Schwangere oder stillende Frauen oder solche, die in den nächsten Monaten eine Schwangerschaft planen, dürfen nicht teilnehmen.",Basel,nan,Brustkrebs
